Address,link,price,beds,baths,sqft,view_yn,yr_built,cooling_yn,senior_community_yn,style,county,new_construction_yn,has_hoa
4535 SW Saum Way,https://www.redfin.com/OR/Tualatin/4535-SW-Saum-Way-97062/home/25979387,760000,4,3.0,2977,No,1992,No,No,Single Family Residential,Clackamas County,No,No
8824 SW Talawa Dr,https://www.redfin.com/OR/Tualatin/8824-SW-Talawa-Dr-97062/home/26705762,645000,3,2.5,2052,No,1978,Yes,No,Single Family Residential,Washington County,No,No
5105 SW Greenwood Cir,https://www.redfin.com/OR/Tualatin/5105-SW-Greenwood-Cir-97062/home/26022197,745000,4,2.5,2558,No,1989,Yes,No,Single Family Residential,Clackamas County,No,No
22305 SW Taylors Dr,https://www.redfin.com/OR/Tualatin/22305-SW-Taylors-Dr-97062/home/25787556,666888,3,2.5,2504,No,1996,Yes,No,Single Family Residential,Washington County,No,No
7007 SW Robbins Rd,https://www.redfin.com/OR/Tualatin/7007-SW-Robbins-Rd-97062/home/26558224,850000,3,2.0,1418,Yes,1995,Yes,No,Single Family Residential,Washington County,No,No
22085 SW Cole Ct,https://www.redfin.com/OR/Tualatin/22085-SW-Cole-Ct-97062/home/26659845,775000,4,2.5,2707,No,1992,Yes,No,Single Family Residential,Washington County,No,No
7171 SW Sagert St #105,https://www.redfin.com/OR/Tualatin/7171-SW-Sagert-St-97062/unit-105/home/26711326,326000,2,2.5,1129,No,1996,No,No,Condo/Co-op,Washington County,No,Yes
8720 SW Tualatin Rd #205,https://www.redfin.com/OR/Tualatin/8720-SW-Tualatin-Rd-97062/unit-205/home/26711160,270000,2,2.0,1022,Yes,1987,No,No,Condo/Co-op,Washington County,No,Yes
8316 SW Mohawk St,https://www.redfin.com/OR/Tualatin/8316-SW-Mohawk-St-97062/home/26729457,250000,3,2.0,1112,Yes,1980,No,No,Condo/Co-op,Washington County,No,Yes
22830 SW Mandan Dr,https://www.redfin.com/OR/Tualatin/22830-SW-Mandan-Dr-97062/home/26681895,544000,4,2.5,1748,No,1994,Yes,No,Single Family Residential,Washington County,No,No
22795 SW 94th Ter,https://www.redfin.com/OR/Tualatin/22795-SW-94th-Ter-97062/home/26697824,565000,3,2.5,1653,No,1995,Yes,No,Single Family Residential,Washington County,No,No
8720 SW Tualatin Rd #323,https://www.redfin.com/OR/Tualatin/8720-SW-Tualatin-Rd-97062/unit-323/home/26563812,275000,2,2.0,1087,Yes,1987,No,No,Condo/Co-op,Washington County,No,Yes
8720 SW Tualatin Rd #122,https://www.redfin.com/OR/Tualatin/8720-SW-Tualatin-Rd-97062/unit-122/home/25837554,270000,2,2.0,1022,Yes,1987,No,No,Condo/Co-op,Washington County,No,Yes
9730 SW Alabama St,https://www.redfin.com/OR/Tualatin/9730-SW-Alabama-St-97062/home/25786178,950000,5,4.0,3765,Yes,2007,Yes,No,Single Family Residential,Washington County,No,No
22442 SW Pinto Dr,https://www.redfin.com/OR/Tualatin/22442-SW-Pinto-Dr-97062/home/26672492,599950,3,2.5,2074,No,1988,Yes,No,Single Family Residential,Washington County,No,No
11063 SW Brown St,https://www.redfin.com/OR/Tualatin/11063-SW-Brown-St-97062/home/26715840,679000,4,2.5,2686,No,2005,Yes,No,Single Family Residential,Washington County,No,Yes
8232 SW Tygh Loop,https://www.redfin.com/OR/Tualatin/8232-SW-Tygh-Loop-97062/home/26679658,540000,3,2.0,1264,Yes,1983,Yes,No,Single Family Residential,Washington County,No,No
8793 SW Iroquois Dr,https://www.redfin.com/OR/Tualatin/8793-SW-Iroquois-Dr-97062/home/26663198,699900,4,3.0,2272,No,1980,Yes,No,Single Family Residential,Washington County,No,No
20388 SW Boones Ferry Rd,https://www.redfin.com/OR/Tualatin/20388-SW-Boones-Ferry-Rd-97062/home/25751064,485000,3,2.0,1621,Yes,1975,Yes,No,Single Family Residential,Washington County,No,No
8980 SW Stono Dr,https://www.redfin.com/OR/Tualatin/8980-SW-Stono-Dr-97062/home/26614871,480000,3,3.0,1697,No,1996,No,No,Single Family Residential,Washington County,No,No
18253 SW 133rd Ter,https://www.redfin.com/OR/Tualatin/18253-SW-133rd-Ter-97062/home/26698106,560000,3,2.0,1595,No,1996,Yes,No,Single Family Residential,Washington County,No,No
18638 SW 92nd Ter,https://www.redfin.com/OR/Tualatin/18638-SW-92nd-Ter-97062/home/26695604,430000,3,2.5,1774,No,2002,Yes,No,Single Family Residential,Washington County,No,Yes
22185 SW Martinazzi Ave,https://www.redfin.com/OR/Tualatin/22185-SW-Martinazzi-Ave-97062/home/26712543,629000,4,2.5,2145,No,1993,Yes,No,Single Family Residential,Washington County,No,No
21519 SW Umpqua Ct,https://www.redfin.com/OR/Tualatin/21519-SW-Umpqua-Ct-97062/home/26571946,596803,3,2.0,1649,No,1976,No,No,Single Family Residential,Washington County,No,No
8720 SW Tualatin Rd #316,https://www.redfin.com/OR/Tualatin/8720-SW-Tualatin-Rd-97062/unit-316/home/26585546,201100,2,2.0,1038,No,1987,No,No,Condo/Co-op,Washington County,No,Yes
7163 SW Sagert St #105,https://www.redfin.com/OR/Tualatin/7163-SW-Sagert-St-97062/unit-105/home/26731245,300000,2,2.5,1129,Yes,1996,No,No,Condo/Co-op,Washington County,No,Yes
17850 SW Shasta,https://www.redfin.com/OR/Tualatin/17850-SW-Shasta-Trl-97062/home/26698480,571000,3,2.0,1678,No,1972,No,No,Single Family Residential,Washington County,No,No
6215 SW Prosperity Park Rd,https://www.redfin.com/OR/Tualatin/6215-SW-Prosperity-Park-Rd-97062/home/25925728,1075000,3,3.0,3278,Yes,1984,Yes,No,Single Family Residential,Clackamas County,No,No
9335 SW Quinault Ln,https://www.redfin.com/OR/Tualatin/9335-SW-Quinault-Ln-97062/home/26701978,571000,3,2.5,1683,No,1996,Yes,No,Single Family Residential,Washington County,No,No
21090 SW 86th Ct,https://www.redfin.com/OR/Tualatin/21090-SW-86th-Ct-97062/home/26581255,724000,3,2.0,1894,No,1980,Yes,No,Single Family Residential,Washington County,No,No
19065 SW Tualasaum Dr,https://www.redfin.com/OR/Tualatin/19065-SW-Tualasaum-Dr-97062/home/25947980,471000,2,1.0,884,Yes,1945,No,No,Single Family Residential,Clackamas County,No,No
20275 SW Comanche Ter,https://www.redfin.com/OR/Tualatin/20275-SW-Comanche-Ter-97062/home/25825113,639000,3,2.0,1988,No,1995,Yes,No,Single Family Residential,Washington County,No,No
21415 SW 78th Ave,https://www.redfin.com/OR/Tualatin/21415-SW-78th-Ave-97062/home/26571738,884000,3,3.0,2647,No,1972,Yes,No,Single Family Residential,Washington County,No,No
11065 SW Oneida St,https://www.redfin.com/OR/Tualatin/11065-SW-Oneida-St-97062/home/26669463,755000,4,2.5,2804,Yes,2004,Yes,No,Single Family Residential,Washington County,No,Yes
7137 SW Sagert St #102,https://www.redfin.com/OR/Tualatin/7137-SW-Sagert-St-97062/unit-102/home/26703521,315000,2,2.5,1129,No,1996,No,No,Condo/Co-op,Washington County,No,Yes
21565 SW Alsea Ct,https://www.redfin.com/OR/Tualatin/21565-SW-Alsea-Ct-97062/home/26716447,565000,3,2.0,1538,No,1976,Yes,No,Single Family Residential,Washington County,No,No
8296 SW Mohawk St,https://www.redfin.com/OR/Tualatin/8296-SW-Mohawk-St-97062/home/25817439,233000,2,1.0,904,No,1980,No,No,Condo/Co-op,Washington County,No,Yes
10303 SW Crow Way,https://www.redfin.com/OR/Tualatin/10303-SW-Crow-Way-97062/home/25765380,860000,4,2.5,3406,Yes,2006,Yes,No,Single Family Residential,Washington County,No,No
8815 SW Nisqually Ct,https://www.redfin.com/OR/Tualatin/8815-SW-Nisqually-Ct-97062/home/26571771,630000,4,3.0,2750,No,1973,Yes,No,Single Family Residential,Washington County,No,No
20052 SW 72nd Ave,https://www.redfin.com/OR/Tualatin/20052-SW-72nd-Ave-97062/home/26693583,496250,3,2.0,1344,No,1986,Yes,No,Single Family Residential,Washington County,No,No
22500 SW Mandan Dr,https://www.redfin.com/OR/Tualatin/22500-SW-Mandan-Dr-97062/home/26666981,489500,4,2.5,1725,No,1994,Yes,No,Single Family Residential,Washington County,No,No
11355 SW Kalispell St,https://www.redfin.com/OR/Tualatin/11355-SW-Kalispell-St-97062/home/26691415,580000,4,2.5,2005,No,1995,Yes,No,Single Family Residential,Washington County,No,Yes
19253 SW Chesapeake Dr,https://www.redfin.com/OR/Tualatin/19253-SW-Chesapeake-Dr-97062/home/25994672,705000,3,2.5,2339,No,1988,No,No,Single Family Residential,Clackamas County,No,No
21012 SW Meadow Way,https://www.redfin.com/OR/Tualatin/21012-SW-Meadow-Way-97062/home/25948198,1400000,4,3.0,4094,Yes,1986,Yes,No,Single Family Residential,Clackamas County,No,Yes
8468 SW Mohawk St,https://www.redfin.com/OR/Tualatin/8468-SW-Mohawk-St-97062/home/26612470,232000,2,1.0,904,No,1980,No,No,Condo/Co-op,Washington County,No,Yes
7175 SW Sagert St #106,https://www.redfin.com/OR/Tualatin/7175-SW-Sagert-St-97062/unit-106/home/26709054,295000,2,2.5,1129,No,1996,No,No,Condo/Co-op,Washington County,No,Yes
8755 SW Tachi Ct,https://www.redfin.com/OR/Tualatin/8755-SW-Tachi-Ct-97062/home/26560074,640000,3,2.0,1703,No,1993,Yes,No,Single Family Residential,Washington County,No,No
23089 SW 89th Ave,https://www.redfin.com/OR/Tualatin/23089-SW-89th-Ave-97062/home/188818773,639900,4,2.0,1946,No,2023,Yes,No,Single Family Residential,Washington County,Yes,Yes
8720 SW Tualatin Rd #120,https://www.redfin.com/OR/Tualatin/8720-SW-Tualatin-Rd-97062/unit-120/home/26710252,265000,2,2.0,1022,No,1987,No,No,Condo/Co-op,Washington County,No,Yes
10950 SW Bannoch St,https://www.redfin.com/OR/Tualatin/10950-SW-Bannoch-St-97062/home/26708707,675000,4,2.5,2516,No,1994,Yes,No,Single Family Residential,Washington County,No,No
9600 SW Alabama St,https://www.redfin.com/OR/Tualatin/9600-SW-Alabama-St-97062/home/25809058,1000000,4,3.0,3100,No,2015,Yes,No,Single Family Residential,Washington County,No,No
22345 SW Mandan Dr,https://www.redfin.com/OR/Tualatin/22345-SW-Mandan-Dr-97062/home/26626183,689532,3,3.0,3230,No,1998,No,No,Single Family Residential,Washington County,No,No
6189 SW Delker Rd,https://www.redfin.com/OR/Tualatin/6189-SW-Delker-Rd-97062/home/165849749,1287000,4,4.5,4220,Yes,1993,Yes,No,Single Family Residential,Clackamas County,No,No
22066 SW Grahams Ferry Rd Unit B,https://www.redfin.com/OR/Tualatin/22066-SW-Grahams-Ferry-Rd-97062/unit-B/home/26711419,396900,3,2.5,1484,No,1999,Yes,No,Condo/Co-op,Washington County,No,Yes
8444 SW Tygh Loop,https://www.redfin.com/OR/Tualatin/8444-SW-Tygh-Loop-97062/home/26708267,580829,3,2.0,1306,No,1981,No,No,Single Family Residential,Washington County,No,No
8366 SW Mohawk St SW,https://www.redfin.com/OR/Tualatin/8366-SW-Mohawk-St-97062/home/26689040,350000,2,1.0,852,No,1980,Yes,No,Condo/Co-op,Washington County,No,Yes
9208 SW Sweek Dr,https://www.redfin.com/OR/Tualatin/9208-SW-Sweek-Dr-97062/home/26725499,409000,3,2.5,1480,No,2001,Yes,No,Single Family Residential,Washington County,No,Yes
18210 SW Cheyenne Way,https://www.redfin.com/OR/Tualatin/18210-SW-Cheyenne-Way-97062/home/26679246,563000,3,2.0,1736,No,1970,Yes,No,Single Family Residential,Washington County,No,No
22493 SW 112th Ave,https://www.redfin.com/OR/Tualatin/22493-SW-112th-Ave-97062/home/25824871,655000,3,2.5,2234,Yes,2004,Yes,No,Single Family Residential,Washington County,No,Yes
8488 SW Blake St,https://www.redfin.com/OR/Tualatin/8488-SW-Blake-St-97062/home/26733200,507000,3,2.0,1169,No,1983,Yes,No,Single Family Residential,Washington County,No,No
8720 SW Tualatin Rd #116,https://www.redfin.com/OR/Tualatin/8720-SW-Tualatin-Rd-97062/unit-116/home/25864147,260000,2,2.0,1022,Yes,1987,No,No,Condo/Co-op,Washington County,No,Yes
10415 SW Rayborn Ct,https://www.redfin.com/OR/Tualatin/10415-SW-Rayborn-Ct-97062/home/104416659,830000,3,3.0,3012,No,2016,Yes,No,Single Family Residential,Washington County,No,No
7155 SW Sagert St #109,https://www.redfin.com/OR/Tualatin/7155-SW-Sagert-St-97062/unit-109/home/25759480,299000,2,2.5,1129,No,1996,No,No,Condo/Co-op,Washington County,No,Yes
23007 SW 104th Ter,https://www.redfin.com/OR/Tualatin/23007-SW-104th-Ter-97062/home/25749162,700000,5,2.5,3070,No,2006,Yes,No,Single Family Residential,Washington County,No,Yes
9337 SW Tonopah St,https://www.redfin.com/OR/Tualatin/9337-SW-Tonopah-St-97062/home/25759448,529500,3,2.5,1332,No,1986,No,No,Single Family Residential,Washington County,No,No
20000 SW 61st Ter,https://www.redfin.com/OR/Tualatin/20000-SW-61st-Ter-97062/home/145567673,825000,4,3.5,3216,No,2018,Yes,No,Single Family Residential,Clackamas County,No,Yes
20967 SW Meadow Way,https://www.redfin.com/OR/Tualatin/20967-SW-Meadow-Way-97062/home/25734133,1950000,5,3.5,4875,Yes,1981,Yes,No,Single Family Residential,Clackamas County,No,Yes
7187 SW Sagert St #104,https://www.redfin.com/OR/Tualatin/7187-SW-Sagert-St-97062/unit-104/home/26734691,290000,2,2.5,1129,Yes,1996,No,No,Condo/Co-op,Washington County,No,Yes
10055 SW Paulina Dr,https://www.redfin.com/OR/Tualatin/10055-SW-Paulina-Dr-97062/home/26708863,690520,4,2.5,2226,No,1976,Yes,No,Single Family Residential,Washington County,No,No
22330 SW Mandan Dr,https://www.redfin.com/OR/Tualatin/22330-SW-Mandan-Dr-97062/home/26562991,525000,3,2.0,1442,No,1996,Yes,No,Single Family Residential,Washington County,No,No
17335 SW Cheyenne Way,https://www.redfin.com/OR/Tualatin/17335-SW-Cheyenne-Way-97062/home/26715295,625000,3,2.0,1711,No,1972,Yes,No,Single Family Residential,Washington County,No,No
20850 SW 87th Ct,https://www.redfin.com/OR/Tualatin/20850-SW-87th-Ct-97062/home/26664878,595000,5,3.0,2510,No,1974,Yes,No,Single Family Residential,Washington County,No,No
8609 SW Logan Ln,https://www.redfin.com/OR/Tualatin/8609-SW-Logan-Ln-97062/home/25764680,725000,4,2.5,2322,No,2006,Yes,No,Single Family Residential,Washington County,No,Yes
8670 SW Comanche Way,https://www.redfin.com/OR/Tualatin/8670-SW-Comanche-Way-97062/home/26590209,530000,3,2.5,1544,No,1971,Yes,No,Single Family Residential,Washington County,No,No
10677 SW Bannoch St,https://www.redfin.com/OR/Tualatin/10677-SW-Bannoch-St-97062/home/25742035,719900,5,2.5,2421,No,1989,Yes,No,Single Family Residential,Washington County,No,No
7147 SW Sagert St #104,https://www.redfin.com/OR/Tualatin/7147-SW-Sagert-St-97062/unit-104/home/26595144,315000,2,2.5,1129,No,1996,No,No,Condo/Co-op,Washington County,No,Yes
21797 SW Oak Hill Ln,https://www.redfin.com/OR/Tualatin/21797-SW-Oak-Hill-Ln-97062/home/143066553,2255000,4,3.5,6904,Yes,1984,Yes,No,Single Family Residential,Clackamas County,No,No
21129 SW 90th Ave,https://www.redfin.com/OR/Tualatin/21129-SW-90th-Ave-97062/home/26732178,535000,4,2.5,1906,No,1979,No,No,Single Family Residential,Washington County,No,No
8675 SW Sagert St,https://www.redfin.com/OR/Tualatin/8675-SW-Sagert-St-97062/home/26602589,655000,3,2.5,2187,No,2006,Yes,No,Single Family Residential,Washington County,No,No
21486 SW Alsea Ct,https://www.redfin.com/OR/Tualatin/21486-SW-Alsea-Ct-97062/home/26610083,569999,3,2.0,1596,Yes,1976,Yes,No,Single Family Residential,Washington County,No,No
10354 SW Koso St,https://www.redfin.com/OR/Tualatin/10354-SW-Koso-St-97062/home/25750361,805000,4,2.5,3409,No,2006,Yes,No,Single Family Residential,Washington County,No,Yes
9885 SW Iowa Dr,https://www.redfin.com/OR/Tualatin/9885-SW-Iowa-Dr-97062/home/77618938,906000,3,2.5,2449,No,2015,Yes,No,Single Family Residential,Washington County,No,No
9157 SW Talawa Dr,https://www.redfin.com/OR/Tualatin/9157-SW-Talawa-Dr-97062/home/26728747,535000,3,2.0,1192,No,1978,Yes,No,Single Family Residential,Washington County,No,No
7137 SW Delaware St,https://www.redfin.com/OR/Tualatin/7137-SW-Delaware-St-97062/home/26723319,542000,3,2.0,1470,No,1979,Yes,No,Single Family Residential,Washington County,No,No
17920 SW 112th Ave,https://www.redfin.com/OR/Tualatin/17920-SW-112th-Ave-97062/home/26703982,595000,4,2.5,1915,Yes,1993,Yes,No,Single Family Residential,Washington County,No,Yes
21675 SW Aspen Pl,https://www.redfin.com/OR/Tualatin/21675-SW-Aspen-Pl-97062/home/26565779,591000,3,2.5,2165,No,2001,Yes,No,Single Family Residential,Washington County,No,No
20046 SW 69th St,https://www.redfin.com/OR/Tualatin/20046-SW-69th-St-97062/home/26658574,670000,3,2.5,1492,No,1987,Yes,No,Single Family Residential,Washington County,No,No
7247 SW Tenino Ln,https://www.redfin.com/OR/Tualatin/7247-SW-Tenino-Ln-97062/home/26703740,636000,3,2.5,2071,No,1985,Yes,No,Single Family Residential,Washington County,No,No
7157 SW Sagert St #107,https://www.redfin.com/OR/Tualatin/7157-SW-Sagert-St-97062/unit-107/home/26641004,320000,2,2.5,1129,No,1996,No,No,Condo/Co-op,Washington County,No,Yes
8232 SW Shenandoah Way,https://www.redfin.com/OR/Tualatin/8232-SW-Shenandoah-Way-97062/home/26627889,300000,3,1.5,1027,Yes,1972,No,No,Condo/Co-op,Washington County,No,Yes
21208 SW Arapaho Ct,https://www.redfin.com/OR/Tualatin/21208-SW-Arapaho-Ct-97062/home/26687220,699900,4,2.5,1969,No,1976,No,No,Single Family Residential,Washington County,No,No
8875 SW Nisqually,https://www.redfin.com/OR/Tualatin/8875-SW-Nisqually-Ct-97062/home/26728776,569000,4,3.0,1824,No,1972,Yes,No,Single Family Residential,Washington County,No,No
9776 SW Tualatin Rd,https://www.redfin.com/OR/Tualatin/9776-SW-Tualatin-Rd-97062/home/26620009,275000,2,1.0,1072,No,1981,No,No,Condo/Co-op,Washington County,No,Yes
9215 SW Stono Dr,https://www.redfin.com/OR/Tualatin/9215-SW-Stono-Dr-97062/home/26683153,670000,3,2.5,2254,No,1995,Yes,No,Single Family Residential,Washington County,No,No
9495 SW Cherry Ln,https://www.redfin.com/OR/Tualatin/9495-SW-Cherry-Ln-97062/home/26665014,655000,4,2.5,2251,No,1996,Yes,No,Condo/Co-op,Washington County,No,Yes
9280 SW Stono Dr,https://www.redfin.com/OR/Tualatin/9280-SW-Stono-Dr-97062/home/25769983,579999,4,2.5,1857,Yes,1996,Yes,No,Single Family Residential,Washington County,No,No
13464 SW Ute St,https://www.redfin.com/OR/Tualatin/13464-SW-Ute-St-97062/home/26691599,500000,3,2.0,1737,No,1996,No,No,Single Family Residential,Washington County,No,No
8285 SW Chelan St,https://www.redfin.com/OR/Tualatin/8285-SW-Chelan-St-97062/home/26687789,489000,3,1.0,1034,No,1981,Yes,No,Single Family Residential,Washington County,No,No
6323 SW Delker Rd,https://www.redfin.com/OR/Tualatin/6323-SW-Delker-Rd-97062/home/165857677,2325000,5,3.5,4191,Yes,1984,Yes,No,Single Family Residential,Clackamas County,No,No
21867 SW Dakota Dr,https://www.redfin.com/OR/Tualatin/21867-SW-Dakota-Dr-97062/home/26594962,499000,3,2.0,1521,No,1980,Yes,No,Single Family Residential,Washington County,No,No
24411 SW Stafford Rd,https://www.redfin.com/OR/Tualatin/24411-SW-Stafford-Rd-97062/home/25911760,815000,4,2.0,2034,Yes,1970,Yes,No,Single Family Residential,Clackamas County,No,No
20918 SW Winema Ct,https://www.redfin.com/OR/Tualatin/20918-SW-Winema-Ct-97062/home/26689187,566000,3,2.5,1728,Yes,1978,Yes,No,Single Family Residential,Washington County,No,No
8294 SW Mohawk St,https://www.redfin.com/OR/Tualatin/8294-SW-Mohawk-St-97062/home/26664334,227500,2,1.0,904,No,1980,No,No,Condo/Co-op,Washington County,No,Yes
9435 SW Siletz Dr,https://www.redfin.com/OR/Tualatin/9435-SW-Siletz-Dr-97062/home/26689642,575000,4,3.0,2210,No,1978,Yes,No,Single Family Residential,Washington County,No,No
21172 SW Iroquois Dr,https://www.redfin.com/OR/Tualatin/21172-SW-Iroquois-Dr-97062/home/26730593,552500,3,2.0,1386,No,1979,Yes,No,Single Family Residential,Washington County,No,No
7380 SW Norwood Rd,https://www.redfin.com/OR/Tualatin/7380-SW-Norwood-Rd-97062/home/26556360,1526000,6,5.0,5616,Yes,2003,Yes,No,Single Family Residential,Washington County,No,No
10345 SW 103rd Ct,https://www.redfin.com/OR/Tualatin/10345-SW-103rd-Ct-97062/home/26684318,660000,3,2.5,1698,No,1976,Yes,No,Single Family Residential,Washington County,No,No
